,mode,index_col,avC,avP,sdC,sdP,avR,maxC,maxP,stdCR,stdCP,AvRR
0,DailyWash,0,2.232,469.2,2.972902216,693.7148077,748.1798872,7.15,1626,2.972902216,693.7148077,748.1798872
1,DailyWash,1,2.3182,489.46,2.998580406,701.151799,634.88176,7.13,1616,3.109570752,729.1785771,464.9345692
2,DailyWash,2,3.3405,729.275,3.281428332,768.3689445,462.549805,7.1,1611,3.055379296,716.3998346,175.32988
3,DailyWash,3,3.2301,702.76,3.256770258,763.2171821,433.1545024,7.12,1611,3.199666553,752.0306615,315.5732922
4,DailyWash,4,2.75425,592.6916667,3.157538043,738.7625219,512.2395483,0.55,69,0.166528013,23.02007133,907.6647774
5,DailyWash,5,2.289466667,484.2066667,2.972481346,695.2247601,544.7112514,0.54,69,0.126149428,17.85754614,674.5980641
6,DailyRinse,6,1.995666667,415,2.792634786,653.1880135,551.3346606,1.19,176,0.24837865,38.63220323,584.4517066
7,DailyRinse,7,1.821619048,371.2333333,2.628631322,614.9521924,562.5566294,1.62,244,0.586408904,93.21997837,629.8884421
8,DailyRinse,8,1.642,331.1041667,2.505497253,584.9829393,615.7969166,1.06,157,0.262399187,39.33972284,988.4789272
9,DailyRinse,9,1.562222222,309.0740741,2.382276462,555.9694521,599.0838157,1.93,292,0.65826627,103.9131213,465.3790082
10,DailySpin,10,1.4392,282.1933333,2.290191685,533.5342588,638.6158566,0.56,66,0.160331553,21.64435633,994.4042249
11,DailySpin,11,1.422181818,273.6909091,2.190644399,510.0566345,604.2341539,1.97,304,0.576597631,91.04047351,260.4171262
0,DailyWash,0,2.183333333,465.5333333,2.975440081,698.3005841,602.9925607,7.15,1639,2.975440081,698.3005841,602.9925607
1,DailyWash,1,2.6882,581.18,3.165231197,742.9645716,499.7344358,7.14,1627,3.364324402,791.5232666,344.8472485
2,DailyWash,2,3.584875,791.4,3.310851737,779.2638298,371.8026852,7.14,1630,3.039159291,719.9801091,158.5831009
3,DailyWash,3,3.5599,785.09,3.30679542,778.9769916,366.1425044,7.14,1629,3.374266392,797.5246754,343.5017813
4,DailyWash,4,3.040666667,663.125,3.234365038,761.5223095,430.6138603,0.59,75,0.171110152,24.10961809,752.9706393
5,DailyWash,5,2.528666667,541.5333333,3.068064267,723.0113264,459.2208201,0.6,73,0.114528519,16.92800848,573.6486594
6,DailyRinse,6,2.2,463.9166667,2.896609075,682.4188648,471.7506148,1.39,208,0.269882904,40.9045005,534.3995886
7,DailyRinse,7,1.99347619,412.9190476,2.739621881,645.0596709,508.9916852,1.83,278,0.67061826,106.4900621,732.4381072
8,DailyRinse,8,1.8015,368.7083333,2.613351349,614.6378993,539.1358878,0.93,137,0.242411496,37.2962819,750.1453065
9,DailyRinse,9,1.70237037,342.3444444,2.48871795,585.1500394,528.9531377,2.02,308,0.659377624,104.2337173,447.4911365
10,DailySpin,10,1.570033333,312.5733333,2.394405058,562.2259195,563.3144775,0.58,72,0.168591528,22.34754223,872.5665362
11,DailySpin,11,1.542333333,301.4030303,2.290858603,537.8435084,534.9635165,2.02,313,0.582839265,92.21943471,251.4539062
12,DailySpin,12,1.470810811,282.6054054,2.189742629,512.4742531,605.5256562,1.85,282,0.834006049,130.1015358,1187.663309
0,DailyWash,0,2.397,516.9,3.11364976,726.5574164,681.6496734,7.15,1633,3.11364976,726.5574164,681.6496734
1,DailyWash,1,2.4104,516.68,3.065271543,718.2149482,591.6997584,7.13,1621,3.071391721,724.2823871,456.774886
2,DailyWash,2,3.334125,732.6375,3.307331592,776.3162321,454.8325315,7.17,1643,3.162110255,745.4813156,226.7204867
3,DailyWash,3,3.2214,705.54,3.282439048,770.754483,443.4112723,7.13,1619,3.223650228,757.6900682,397.7262353
4,DailyWash,4,2.76225,596.775,3.167100432,744.2671706,480.7515747,0.64,72,0.158123037,20.54641728,667.4530871
5,DailyWash,5,2.3042,488.4,2.976415634,699.826268,508.8597315,0.59,71,0.128664225,17.1993384,621.2923586
6,DailyRinse,6,1.987777778,415.6888889,2.807827955,659.0866991,555.0697787,0.88,130,0.195513177,29.22886308,786.1200144
7,DailyRinse,7,1.822285714,373.3238095,2.64019383,619.86772,557.0743009,1.75,268,0.619626881,99.50211688,569.1014344
8,DailyRinse,8,1.629583333,330.8625,2.521802801,590.5389159,633.8728676,0.52,63,0.15224602,21.69932993,1171.462834
9,DailyRinse,9,1.542444444,307.8962963,2.3968455,561.1796295,614.811227,1.84,284,0.558642032,88.4608167,462.3181027
10,DailySpin,10,1.425966667,281.5766667,2.300915348,538.1853109,642.9764649,0.65,81,0.182750694,25.50206212,896.4636054
11,DailySpin,11,1.400242424,271.6666667,2.202785595,514.8627265,617.6482971,1.99,310,0.622620436,99.14137705,364.366619
12,DailySpin,12,1.351702703,257.4783784,2.102272372,489.7332616,670.2849202,1.83,282,0.835535104,131.4089111,1104.537062
0,DailyWash,0,2.002,422.1,2.848119041,672.4418883,635.4174943,7.19,1653,2.848119041,672.4418883,635.4174943
1,DailyWash,1,2.4682,529.52,3.069492872,725.3288133,495.3243574,7.24,1669,3.325540518,788.0822342,285.1846521
2,DailyWash,2,3.381375,748.7375,3.304704642,785.9387798,376.1302163,7.22,1669,3.161798193,756.8487459,177.4733144
3,DailyWash,3,3.0685,674.33,3.25118172,773.7269904,395.0512698,7.23,1669,2.758021984,659.0990741,470.7354838
4,DailyWash,4,2.625083333,569.8083333,3.128805178,743.782625,466.6689607,0.56,72,0.165770926,23.77437807,824.757415
5,DailyWash,5,2.192733333,466.5133333,2.928229622,696.3174442,498.9949898,0.69,84,0.132309286,18.21960546,628.2991064
6,DailyRinse,6,1.922388889,401.4055556,2.742218317,652.1561291,510.2717237,1.44,218,0.302574395,49.51609514,566.6553932
7,DailyRinse,7,1.758,359.8904762,2.581629395,613.3829813,540.7219312,1.99,311,0.665872947,107.0302568,723.423176
8,DailyRinse,8,1.590083333,321.7583333,2.455789844,582.5226771,570.5696926,0.78,115,0.192205589,28.64898546,779.5040224
9,DailyRinse,9,1.513888889,300.8851852,2.333911643,553.2306988,558.0772515,1.98,308,0.625755727,99.94424308,458.1377226
10,DailySpin,10,1.392366667,274.5666667,2.244183727,530.7150211,614.0338676,0.51,68,0.157299042,22.28831455,1117.643413
11,DailySpin,11,1.317090909,256.9121212,2.155813521,509.3653374,616.5050798,1.63,253,0.392469488,63.14377865,641.2172019
12,DailySpin,12,1.350837838,256.4648649,2.053289014,482.633494,590.0143798,2.5,395,0.771081117,123.2451148,371.4661048
13,DailySpin,13,1.256275,237.305,2.002390144,468.9990322,741.8002458,0.09,1,0,0,2613.825926
14,DailySpin,14,1.174906977,220.8186047,1.953883197,456.3011413,872.2953191,0.09,1,0,0,2612.22963
15,DailySpin,15,1.126688889,211.0488889,1.922942117,448.3224284,949.3705888,0.09,1,2.85E-17,0,2606.488889
16,DailySpin,16,1.061895833,197.9208333,1.878622055,437.0300864,1053.217566,0.09,1,0,0,2610.922222
0,DailyWash,0,2.124666667,455.5333333,2.987236912,699.2581652,727.9209074,7.07,1611,2.987236912,699.2581652,727.9209074
1,DailyWash,1,2.4274,518.14,3.068440281,716.0679768,612.4794783,7.06,1607,3.20930764,748.7198531,439.3173347
2,DailyWash,2,3.401625,748.2,3.301598556,773.4977502,454.0127428,7.14,1648,3.069562176,721.1981163,189.901517
3,DailyWash,3,3.2665,716.78,3.283411743,769.4522725,438.8359954,7.09,1614,3.235097656,759.2632787,378.1290056
4,DailyWash,4,2.782333333,603.825,3.186359777,746.2688553,499.8995469,0.47,52,0.113521387,14.91193446,805.2173046
5,DailyWash,5,2.303266667,491.82,3.005783128,703.800594,540.339516,0.54,57,0.097984869,12.78037288,702.0993922
6,DailyRinse,6,1.9995,420.6,2.82797009,661.9294094,558.2265282,1.34,202,0.282561355,45.07904934,647.6615892
7,DailyRinse,7,1.818809524,375.6666667,2.665615904,623.6595373,589.9974294,1.74,268,0.653271519,104.7018537,780.6228365
