,mode,index_col,avC,avP,sdC,sdP,avR,maxC,maxP,stdCR,stdCP,AvRR
2,DailyWash,2,3.34925,740.7625,3.314552789,784.2019122,455.3417018,7.27,1672,3.118263977,739.3138664,271.6016668
3,DailyWash,3,3.3041,730.37,3.309605273,783.3514073,455.4916118,7.19,1652,3.369095264,798.8235824,456.091252
4,DailyWash,4,2.83575,618.4416667,3.196779278,757.4234609,461.1373522,0.61,71,0.073298237,10.44081062,489.366054
5,DailyWash,5,2.360933333,505.8,3.012283209,713.6916974,504.2861713,0.61,73,0.146783522,20.33119454,676.8814479
6,DailyRinse,6,2.051333333,432.6833333,2.836709952,671.6977612,534.0344558,1.2,182,0.270928586,43.6990886,682.7758783
7,DailyRinse,7,1.872904762,387.7238095,2.673113455,632.6447259,550.4292542,1.83,286,0.667040211,108.6390681,648.7980445
8,DailyRinse,8,1.679708333,344.225,2.552217577,602.7872424,605.4028934,0.61,68,0.153014161,20.68471589,990.2183674
9,DailyRinse,9,1.597296296,321.6481481,2.425673345,572.7145807,588.76747,1.86,288,0.624082223,100.0542899,455.6840826
10,DailySpin,10,1.472433333,293.9266667,2.331779807,549.6192187,626.1449578,0.59,69,0.172221456,22.64521466,962.5423481
11,DailySpin,11,1.444575758,283.5060606,2.232137601,525.8089339,598.3793922,2.21,352,0.614180699,98.19725047,320.7237364
12,DailySpin,12,1.418594595,273.0594595,2.144064012,501.4302003,662.3146119,2.67,430,1.18769522,195.1388969,1189.780174
0,DailyWash,0,2.185,474.4333333,3.024181565,717.7851318,701.5192475,7.17,1658,3.024181565,717.7851318,701.5192475
1,DailyWash,1,2.4988,539.52,3.110967197,730.1968211,579.0482553,7.15,1655,3.257524851,756.2794161,395.3417669
2,DailyWash,2,3.3765,751.1375,3.332672589,787.8752029,459.5510156,7.16,1666,3.218951353,764.3326629,260.3889495
3,DailyWash,3,2.9102,641.37,3.250774882,768.3891672,504.3165037,7.12,1642,2.074685772,491.6764126,683.3784562
4,DailyWash,4,2.484833333,541.2,3.115365008,736.0820264,549.1973486,0.53,59,0.104155754,14.52139982,773.6015727
5,DailyWash,5,2.060866667,441.3333333,2.91152741,687.6933594,590.5280314,0.5,60,0.096266512,13.38741904,755.8507629
6,DailyRinse,6,1.792,377.8666667,2.725809684,643.5542317,610.6423957,1.23,186,0.25221342,39.12379409,711.2142168
7,DailyRinse,7,1.639095238,338.5571429,2.559648159,604.3415881,613.6805947,1.69,260,0.583993879,92.99653312,631.9097892
8,DailyRinse,8,1.4835,302.8041667,2.430032853,573.1415219,646.2723355,0.83,123,0.21259778,31.66934048,874.4145211
9,DailyRinse,9,1.411333333,282.9037037,2.308621887,544.1217114,630.5990545,1.88,291,0.619791956,97.83700379,505.2128061
10,DailySpin,10,1.2955,257.8733333,2.217686602,521.6038079,690.5168537,0.72,107,0.143410431,22.80139137,1229.777046
11,DailySpin,11,1.333575758,258.8636364,2.125706734,498.2430556,642.6772709,2.68,433,0.624851339,105.1526586,164.2814431
0,DailyWash,0,2.453333333,525.8333333,3.091193647,725.2016168,519.6039975,7.12,1621,3.091193647,725.2016168,519.6039975
1,DailyWash,1,2.3294,494.78,2.99806428,706.4087182,487.3818304,7.16,1650,2.921519567,693.1136157,439.0485796
2,DailyWash,2,3.2805,720.0125,3.294729547,777.0038935,410.0024614,7.17,1652,3.197633482,753.8284173,281.0368464
3,DailyWash,3,3.6381,804.84,3.321938918,783.6949999,376.6002128,7.13,1629,3.110062235,733.7809995,242.9912183
4,DailyWash,4,3.110083333,679.925,3.254023365,767.9036197,413.3765888,0.58,72,0.120961064,17.13499036,597.2584689
5,DailyWash,5,2.576066667,554.24,3.099664606,731.1778461,460.1994455,0.59,68,0.120973066,17.67864482,647.4908726
6,DailyRinse,6,2.207833333,469.3833333,2.94677748,693.7490593,525.2271454,0.66,78,0.158621939,19.81352725,850.365645
7,DailyRinse,7,2.013238095,419.9571429,2.777148548,654.3071964,519.6643792,1.85,286,0.583241142,92.47911227,486.2877815
8,DailyRinse,8,1.80925,373.1625,2.653518912,624.3765381,566.4959996,0.65,86,0.186376211,24.77846674,894.3173427
9,DailyRinse,9,1.684296296,342.7037037,2.531282215,595.367458,570.6405598,1.56,237,0.492178362,77.2958862,603.7970413
10,DailySpin,10,1.566866667,315.2466667,2.430763437,571.1234769,601.7889785,1.49,226,0.449313653,70.10766761,882.1247471
11,DailySpin,11,1.457030303,290.9484848,2.344011635,549.9515981,634.6720389,0.73,110,0.200735429,31.20177198,963.5026426
12,DailySpin,12,1.487810811,288.7324324,2.22803286,520.737091,595.8107429,2.5,394,0.737590977,117.7450418,275.2050507
0,CottonWash,0,2.221666667,484.3,3.06220124,729.4347906,723.0142053,7.24,1681,3.06220124,729.4347906,723.0142053
1,CottonWash,1,2.5994,572.6,3.195328484,764.0176299,583.2870238,7.34,1706,3.38463774,813.9403492,373.6962516
2,CottonWash,2,3.55025,800.425,3.399460856,812.5167305,473.9737074,7.27,1688,3.173736784,757.2979067,291.7848467
3,CottonWash,3,3.6682,827.67,3.393183416,811.5414695,440.0429163,7.24,1679,3.413135617,819.1763691,304.3197521
4,CottonWash,4,3.136083333,699.0916667,3.31782208,794.5431116,461.0435595,0.6,76,0.102775944,14.07349132,566.0467755
5,CottonWash,5,2.599266667,569.6733333,3.155436578,756.126179,510.5402211,0.65,75,0.156654683,21.39771177,708.5268674
6,CottonWash,6,2.463777778,536.4777778,3.097680003,742.1204216,524.7243928,7.25,1678,2.738829958,654.0036776,595.6452511
7,CottonWash,7,2.174809524,466.9904762,2.953813238,707.7117448,551.2060003,0.67,73,0.155149539,20.38243553,710.0956456
8,CottonWash,8,1.960958333,415.4041667,2.820156736,675.8190066,559.8935352,0.59,76,0.128240077,17.78637603,620.7062789
9,CottonWash,9,1.792703704,374.9296296,2.700974577,647.2878208,568.4212603,0.64,75,0.123493217,17.37563362,636.6430613
10,CottonWash,10,1.816666667,380.26,2.71620448,650.7317253,553.5182174,7.22,1669,2.888597898,690.5604262,414.7657491
11,CottonWash,11,1.693666667,350.5212121,2.618827009,627.4848146,559.8304382,0.59,69,0.129707452,17.56707998,622.7422389
12,CottonWash,12,1.558054054,318.2108108,2.503825041,599.7742745,575.7778376,0.6,75,0.144015446,18.83606742,706.9451979
13,CottonWash,13,1.476225,298.35,2.425269848,581.0207184,580.5466421,0.62,78,0.13714201,18.95111679,639.2029367
14,CottonRinse,14,1.402930233,280.9302326,2.354502758,563.9664597,588.6988631,0.54,66,0.137506949,19.24315074,697.1234028
15,CottonRinse,15,1.379488889,275.2733333,2.324606336,556.5160105,588.9855363,7.12,1621,1.499952543,348.1728662,595.1346766
16,CottonRinse,16,1.354083333,266.7854167,2.255460642,540.0900352,573.2375303,1.72,260,0.44610305,70.57338237,337.5423737
17,CottonRinse,17,1.294960784,253.6470588,2.201069551,526.5909834,591.644616,0.54,71,0.156543483,21.32132385,885.5444174
18,CottonSpin,18,1.272037037,246.712963,2.144988706,512.9298587,588.2272135,1.62,244,0.561596759,87.73002605,530.2452854
19,CottonSpin,19,1.22522807,236.1017544,2.097415943,501.2826292,602.2413607,0.59,71,0.15664441,23.63129135,854.0288708
20,CottonSpin,20,1.197316667,229.1283333,2.05073804,489.8017164,601.597901,1.81,275,0.495177781,76.20502442,589.3936159
21,CottonSpin,21,1.235428571,232.9365079,2.010195647,478.4589755,580.5997351,2.34,365,0.385313874,60.54542324,161.3363557
0,CottonWash,0,2.138,450.8333333,2.954496748,682.3991694,779.938985,7.12,1624,2.954496748,682.3991694,779.938985
1,CottonWash,1,1.9804,414.88,2.839201497,659.7298346,716.2306465,7.1,1620,2.714356374,637.6598231,620.6681387
2,CottonWash,2,3.063625,669.9625,3.26757652,765.8824222,542.6570811,7.18,1645,3.173408208,750.5619665,253.3678056
3,CottonWash,3,3.3994,748.78,3.310329356,777.0364912,472.7479823,7.1,1620,3.214149433,759.1688998,193.1115871
4,CottonWash,4,2.9035,631.8916667,3.218731847,755.8230952,517.2585359,0.64,69,0.153568089,21.07998552,739.8113036
5,CottonWash,5,2.415066667,516.08,3.039509574,714.3668386,541.6037882,0.63,71,0.13720695,17.92144416,638.9847972
6,CottonWash,6,2.090944444,439.1944444,2.867419897,674.2251344,561.5624585,0.6,73,0.14988463,20.17968137,661.3558102
7,CottonWash,7,2.050904762,428.8333333,2.837678416,667.8762928,550.7085378,7.11,1623,2.685723345,635.7530606,485.5850137
8,CottonWash,8,1.851625,381.6791667,2.706154976,636.9761669,565.0538231,0.65,69,0.142667526,18.33707381,665.4708197
9,CottonWash,9,1.696777778,345.0185185,2.588612966,609.3590176,572.4659759,0.57,71,0.130288804,18.63614089,631.7631989
10,CottonWash,10,1.573433333,315.82,2.483635513,584.6403299,582.8177406,0.66,75,0.159856257,21.12603123,675.9836228
11,CottonWash,11,1.474545455,292.1484848,2.388539495,562.3840204,580.4071945,0.66,69,0.109786103,14.52627425,556.3017333
12,CottonWash,12,1.489621622,295.5405405,2.399719805,565.2325034,571.4227509,7.08,1614,2.517961935,594.8741728,497.3010909
13,CottonWash,13,1.412025,277.325,2.324136329,547.352479,579.1518576,0.61,73,0.143087868,18.93606909,674.4775073
14,CottonRinse,14,1.345976744,261.7418605,2.254626499,530.9515545,582.6317266,0.66,76,0.13129943,17.26963317,629.0299805
15,CottonRinse,15,1.308933333,253.2288889,2.211326526,520.5654614,587.4946876,1.1,163,0.286996699,41.9518521,692.0483475
16,CottonRinse,16,1.2888125,246.38125,2.146937822,505.1986509,578.7196594,1.85,285,0.568289327,91.29313655,447.0942372
17,CottonRinse,17,1.231176471,234.2254902,2.095917959,492.5407667,610.7383922,0.69,101,0.184789722,27.99622306,1123.038117
18,CottonSpin,18,1.214148148,228.8055556,2.042500699,479.6512156,599.4906105,1.94,301,0.586378325,93.57841386,408.2783224
19,CottonSpin,19,1.165508772,218.6175439,1.999043577,468.8725186,633.9078312,0.56,78,0.180573798,26.02741702,1253.417803
20,CottonSpin,20,1.169016667,217.035,1.953414852,457.5710829,616.6757489,2.4,379,0.635662475,100.8715412,289.2661849
21,CottonSpin,21,1.176666667,216.5222222,1.91828164,447.8179656,625.3948674,2.14,337,0.985720403,157.9530557,799.7772375
0,CottonWash,0,2.612,574.3333333,3.216506351,759.2130378,753.064179,7.25,1666,3.216506351,759.2130378,753.064179
1,CottonWash,1,2.5202,552.82,3.1742751,749.9857601,781.6298293,7.19,1675,3.187653608,754.3213384,824.4783047
2,CottonWash,2,3.465875,775.5125,3.36312682,795.3222258,596.7195264,7.18,1650,3.110459995,738.0483272,288.5356884
3,CottonWash,3,3.0478,676.68,3.305314539,781.3417737,658.6507775,7.19,1655,2.493480921,587.6536104,906.3757819
4,CottonWash,4,2.602166667,570.8166667,3.177402931,751.3360311,711.5305228,0.58,72,0.188076132,26.12218255,975.9292493
5,CottonWash,5,2.156866667,465.1666667,2.978092299,704.2215791,772.8882509,0.58,71,0.194753307,26.2148725,1018.319163
6,CottonWash,6,1.863222222,395.2611111,2.796824947,661.435221,803.9368274,0.59,78,0.193760428,26.58614279,959.1797101
7,CottonWash,7,1.651809524,345.1190476,2.640751409,624.4579507,826.7269587,0.56,72,0.18387277,25.77613616,963.4677466
8,CottonWash,8,1.489083333,307.0458333,2.507728471,592.6856205,859.5145425,0.57,75,0.189190654,26.69719517,1089.027629
9,CottonWash,9,1.363925926,277.5666667,2.390870056,564.9246629,872.5162621,0.57,73,0.170089902,23.86590893,976.530019
10,CottonWash,10,1.4029,286.14,2.421562403,572.5600905,857.0976631,7.18,1656,2.700895743,642.5329805,718.330272
11,CottonWash,11,1.350787879,271.2030303,2.320688502,548.5497525,830.410743,1.76,273,0.574567203,91.42212942,563.541542
12,CottonWash,12,1.265621622,250.0540541,2.208086461,521.8605056,819.9505462,1.64,249,0.362039805,57.55661093,733.6539223
13,CottonWash,13,1.2252,239.4525,2.133538945,503.8197879,808.2798554,1.96,311,0.559231821,89.55451047,664.3413355
14,CottonRinse,14,1.174511628,227.5953488,2.069180692,488.1734225,810.6499676,1.77,278,0.446949302,72.02095002,842.2514637
15,CottonRinse,15,1.132533333,218.7911111,2.032140802,478.9414236,836.5090395,0.46,57,0.14,19.81360511,1392.479087
16,CottonRinse,16,1.142833333,217.6395833,1.971931403,464.1718075,798.8888533,1.99,313,0.513453039,83.00539381,234.5860603
17,CottonRinse,17,1.132156863,213.4529412,1.922328232,451.5764928,806.894695,1.71,269,0.774662255,124.5349233,934.9881612
18,CottonSpin,18,1.074259259,201.65,1.883284347,441.524633,908.3844959,0.09,1,0,0,2633.711111
19,CottonSpin,19,1.02245614,191.0894737,1.846117363,432.061028,999.3730312,0.09,1,0,0,2637.166667
20,CottonSpin,20,0.975833333,181.585,1.810752979,423.1389177,1081.288083,0.09,1,0,0,2637.674074
21,CottonSpin,21,0.933650794,172.9857143,1.777100854,414.7146832,1155.580362,0.09,1,0,0,2641.425926
0,CottonWash,0,2.329666667,508.4,3.124831012,733.3800163,683.1755854,7.09,1626,3.124831012,733.3800163,683.1755854
1,CottonWash,1,1.5322,320.24,2.599530798,610.416571,764.1154714,0.44,53,0.115046901,16.15060696,885.5253005
2,CottonWash,2,1.084625,214.5375,2.129146702,500.0443004,791.859243,0.47,55,0.10132683,14.32741123,838.0988624
3,CottonWash,3,0.9442,180.64,1.922841006,451.8582177,756.4646249,0.47,53,0.031434979,3.926629732,614.8861523
4,CottonWash,4,0.846583333,157.05,1.768160273,415.5844088,768.5392169,0.56,55,0.123257326,16.60025364,828.912177
5,CottonWash,5,1.0168,197.0933333,2.016169642,475.2635771,742.0446836,7.11,1639,2.730740311,647.0310408,636.0665503
6,CottonWash,6,0.908611111,171.3,1.855940414,437.4925621,749.4579034,0.55,62,0.111066409,14.78893653,786.5240026
7,CottonWash,7,0.831619048,153.0285714,1.728380675,407.3900581,749.1298436,0.6,62,0.103139789,14.18255363,747.161485
8,CottonWash,8,0.77325,139.1666667,1.623979905,382.761248,748.7987446,0.54,57,0.092465589,13.29696189,746.4810513
9,CottonWash,9,0.730444444,128.7111111,1.535821525,362.0200834,741.3698871,0.59,57,0.088683863,11.20939671,681.9390275
10,CottonWash,10,0.695833333,120.2966667,1.460906728,344.343001,742.6150629,0.57,59,0.117845116,15.69468026,753.8216445
11,CottonWash,11,0.666060606,113.1757576,1.396224478,329.0692678,743.3382423,0.54,60,0.101915561,14.25502533,750.5700365
12,CottonWash,12,0.758540541,135.1027027,1.582770385,373.0142077,737.0545331,7.07,1623,2.566707509,604.4410853,685.213932
13,CottonWash,13,0.7721,135.51,1.529063989,359.4148264,711.1392084,1.86,291,0.510739378,82.8578897,391.5168713
14,CottonRinse,14,0.772418605,134.0093023,1.484073086,347.6676667,718.6585887,1.75,271,0.642829593,101.555828,818.9169915
15,CottonRinse,15,0.752177778,129.7755556,1.45391635,340.4276046,730.5781676,0.47,62,0.126536868,19.44459064,986.8491157
16,CottonRinse,16,0.737020833,126.2916667,1.412613356,330.2650014,739.7492235,1.49,230,0.417310629,65.51729613,877.315061
17,CottonRinse,17,0.811,137.2960784,1.402990904,323.5203412,703.2187005,2.3,366,0.220887447,36.96735124,118.7303331
0,CottonWash,0,1.714666667,364.8333333,2.746485822,654.7287453,704.2957821,7.2,1672,2.746485822,654.7287453,704.2957821
1,CottonWash,1,1.9912,431.04,2.916060132,695.8543408,648.2802667,7.2,1674,3.180361449,759.7187343,564.2569936
2,CottonWash,2,3.320375,748.9125,3.372976916,805.1535146,488.6913175,7.23,1684,2.915790167,695.1720774,222.7097355
3,CottonWash,3,2.7254,606.96,3.242194175,773.8082387,571.4046249,0.47,53,0.12386219,16.90927805,902.2578545
4,CottonWash,4,2.33675,513.2916667,3.083521441,736.4864053,589.7901056,0.49,59,0.093091636,13.88097903,681.7175091
5,CottonWash,5,1.938066667,418.3933333,2.869968944,685.2137657,643.8544202,0.61,65,0.12290544,16.29131353,860.1116786
6,CottonWash,6,1.6725,355.2277778,2.685671035,641.0357526,680.0104888,0.44,55,0.110132626,15.35465784,860.7908317
7,CottonWash,7,1.486142857,310.5952381,2.527510619,603.3045546,691.604295,0.6,57,0.102027718,13.34011322,761.1671327
8,CottonWash,8,1.539041667,323.575,2.576863488,614.9453105,691.8884783,7.19,1674,2.919352707,695.4432317,693.8777614
9,CottonWash,9,1.408222222,292.3555556,2.457306189,586.3752807,704.4639126,0.51,63,0.107897887,15.45315502,805.0673864
10,CottonWash,10,1.301966667,267.05,2.352739625,561.3723278,715.1877074,0.45,52,0.098073981,13.95843584,811.7018607
11,CottonWash,11,1.215181818,246.330303,2.259888799,539.1920191,723.9938027,0.46,57,0.101876644,14.72210005,812.054756
12,CottonWash,12,1.123972973,224.3837838,2.15017593,513.0433652,723.9933617,0.58,60,0.095099139,12.42492842,723.9897232
13,CottonWash,13,1.0668,210.6825,2.07776455,495.7453887,731.3428585,0.58,62,0.120002395,16.33939601,821.9866529
14,CottonRinse,14,1.015488372,198.7627907,2.012821865,480.0997658,744.1718957,0.54,79,0.124920204,17.09019346,915.2257243
15,CottonRinse,15,1.022733333,197.9688889,1.970539895,469.602143,725.4258855,1.85,291,0.507763673,81.90552966,322.3866665
16,CottonRinse,16,0.983479167,188.9729167,1.914787685,456.0795737,742.1148129,0.82,120,0.237628126,35.80549306,992.4487238
17,CottonRinse,17,0.977372549,185.7176471,1.862859559,443.1885569,730.7810858,1.87,294,0.582488617,93.4427663,549.4414519
18,CottonSpin,18,0.93837037,177.3055556,1.817643261,432.0972039,752.9418633,0.42,57,0.123643908,18.76193873,1129.675082
19,CottonSpin,19,0.962807018,179.5789474,1.783215096,421.942418,731.9862122,2.72,442,0.879823389,145.4493039,354.7844917
20,CottonSpin,20,0.9469,175.375,1.754027673,413.3733061,783.4843765,2.66,433,1.028365738,171.4036876,1761.949499
21,CottonSpin,21,0.906095238,167.0714286,1.721403,405.1033309,871.3330923,0.09,1,0,0,2628.307407
22,CottonSpin,22,0.869,159.5227273,1.690346931,397.2862433,951.2512851,0.09,1,0,0,2629.533333
0,CottonWash,0,2.183666667,463.2,2.970903129,694.6638681,716.6184183,7.09,1621,2.970903129,694.6638681,716.6184183
1,CottonWash,1,2.043,427.84,2.842587388,669.4691275,579.4073063,7.24,1661,2.699796484,643.7269444,373.5906384
2,CottonWash,2,3.09775,679.0125,3.269350563,771.5396984,479.1694186,7.19,1653,3.217065147,757.8023345,312.1062723
3,CottonWash,3,3.303,726.56,3.301291605,779.3259237,443.9654751,7.23,1652,3.384947174,801.2039543,303.1497012
4,CottonWash,4,2.832166667,614.9166667,3.191827059,753.7786781,473.71289,0.64,81,0.141220246,20.01604619,622.4499645
5,CottonWash,5,2.358733333,502.7466667,3.007239653,710.3038974,512.623319,0.67,73,0.150074694,20.55595112,668.2650353
6,CottonWash,6,2.042166667,427.7944444,2.834628305,669.5369675,537.4279677,0.64,72,0.145387315,19.30782106,661.451211
7,CottonWash,7,1.848428571,381.6857143,2.705060278,639.1105185,547.5283901,7.15,1640,1.228215976,290.5260963,608.1309245
8,CottonWash,8,1.814291667,373.625,2.678808109,633.1220584,542.2874008,7.19,1646,2.51740799,596.6526397,505.6004756
9,CottonWash,9,1.65962963,337.6185185,2.563200517,605.4680935,564.4448998,0.54,65,0.143134452,19.62525349,741.7048916
10,CottonWash,10,1.538933333,309.1233333,2.458434161,580.6663236,572.4270427,0.6,75,0.126489289,17.96804315,644.2663285
11,CottonWash,11,1.439909091,285.669697,2.364935143,558.5524849,581.3181748,0.59,75,0.142065632,20.02366416,670.2294966
12,CottonWash,12,1.334540541,260.5945946,2.254035208,532.354379,588.7135665,0.65,75,0.143972709,18.97094607,649.725548
13,CottonWash,13,1.304125,253.155,2.217045661,523.6165359,584.746025,7.12,1621,1.680193646,395.9907348,535.8130126
14,CottonRinse,14,1.305813953,253.5883721,2.219079517,523.9706529,585.5292822,7.15,1629,2.284226396,537.660865,595.972712
15,CottonRinse,15,1.267711111,244.9266667,2.176763265,513.788255,593.072411,0.87,129,0.219910867,32.85550503,755.2496796
16,CottonRinse,16,1.2534375,239.1041667,2.112102233,498.3743317,576.4476088,1.91,292,0.520099018,83.49919815,327.0755763
17,CottonRinse,17,1.199588235,227.5098039,2.060729177,485.7264129,601.6562149,0.84,117,0.190505679,25.55049092,1004.993913
18,CottonSpin,18,1.157907407,218.3018519,2.010623425,473.609469,606.1242639,0.94,137,0.227033847,34.29655993,682.0810961
19,CottonSpin,19,1.142666667,213.3719298,1.961957322,461.8640636,598.5679176,1.58,239,0.553677881,88.65293948,462.5536851
20,CottonSpin,20,1.102533333,204.66,1.920583066,451.7820855,620.4098328,0.6,69,0.175656404,24.0067998,1035.406221
21,CottonSpin,21,1.126650794,206.5698413,1.880401233,441.2912337,598.7403856,2.41,378,0.500443596,79.6737673,165.351442
22,CottonSpin,22,1.1195,203.7727273,1.850315699,432.7160436,627.7636153,2.29,356,1.040589797,165.5337206,1237.251439
0,CottonWash,0,2.217666667,471.2333333,2.984628069,701.5614449,566.3807827,7.13,1627,2.984628069,701.5614449,566.3807827
1,CottonWash,1,2.428,520.22,3.065310851,721.3606839,533.6100053,7.15,1630,3.234357131,762.4150755,484.4538392
2,CottonWash,2,3.38875,740.7,3.284913106,772.9502154,412.3010924,7.14,1627,3.045512244,724.4376218,210.1195708
3,CottonWash,3,3.2593,711.11,3.27106113,769.3427983,438.9165855,7.12,1620,3.245398808,762.5444853,545.378558
4,CottonWash,4,2.79825,602.2083333,3.158472044,743.1397043,459.3060906,0.68,82,0.128353951,17.54422982,561.2536163
5,CottonWash,5,2.334133333,492.9,2.972914234,699.4573136,490.6236494,0.62,75,0.133201515,17.92192518,615.8938847
6,CottonWash,6,2.023111111,419.8777778,2.801053531,658.8659603,509.1808521,0.65,71,0.125983031,17.43892462,601.9668652
7,CottonWash,7,1.79752381,367.2714286,2.65125583,623.3174386,534.1353486,0.57,69,0.13855411,18.57785729,683.8623276
8,CottonWash,8,1.79475,366.7666667,2.647685486,622.8369127,528.9635309,7.12,1632,2.667429,630.0573419,492.7608073
9,CottonWash,9,1.644296296,331.737037,2.532193912,595.4424812,544.3540476,0.57,71,0.129745994,18.25820552,667.4781815
10,CottonWash,10,1.526433333,303.9866667,2.428098671,570.9245332,552.7484102,0.58,73,0.12678201,15.3660695,628.2976736
11,CottonWash,11,1.430848485,281.330303,2.334743767,549.0053759,555.8130422,0.64,71,0.122439288,17.07323643,586.4593613
12,CottonWash,12,1.325864865,256.6405405,2.225652106,523.2800584,566.0622723,0.68,86,0.144993147,20.69181679,650.6184209
13,CottonWash,13,1.263875,241.7175,2.151641964,505.9699514,565.3516709,0.64,72,0.115458108,15.82955188,556.5875874
14,CottonRinse,14,1.208976744,228.6581395,2.085023156,490.31161,568.8036185,0.62,76,0.134680977,18.49088001,614.8295855
15,CottonRinse,15,1.182022222,222.3111111,2.043437461,480.3268849,571.552725,1.51,229,0.385976206,59.31386187,630.6585157
16,CottonRinse,16,1.163333333,216.3125,1.985434049,466.2562735,567.4220749,1.91,294,0.610755044,98.70448173,505.4623226
17,CottonRinse,17,1.119764706,206.8294118,1.934532211,453.9621254,578.7209302,0.86,127,0.203959653,31.9248579,759.5026157
18,CottonSpin,18,1.105425926,202.2722222,1.886063723,442.0956566,574.0922655,1.87,285,0.603833063,94.79356882,495.4049661
19,CottonSpin,19,1.063333333,193.6561404,1.844672311,431.8608499,598.83803,0.55,66,0.152376198,20.51859263,1044.26179
20,CottonSpin,20,1.0621,191.7183333,1.801274245,421.3469605,586.2430558,1.52,231,0.501348068,78.55520791,346.9385465
0,CottonWash,0,2.019,422.9666667,2.865383587,679.4536082,744.2387625,7.22,1662,2.865383587,679.4536082,744.2387625
1,CottonWash,1,2.297,490.36,3.015787202,713.5293069,699.2067593,7.2,1658,3.258632907,768.4016545,631.6587547
2,CottonWash,2,3.233875,710.6625,3.285579345,774.6857091,562.6025483,7.17,1645,3.162945739,742.6124939,334.9288633
3,CottonWash,3,3.1973,701.64,3.279336856,772.4122456,558.6385883,7.13,1620,3.334890356,782.1019906,542.7827482
4,CottonWash,4,2.72625,591.7416667,3.173588501,746.5648671,637.5316367,0.58,72,0.197907474,26.85217819,1031.996879
5,CottonWash,5,2.2616,482.4866667,2.986708156,702.3788604,692.3276359,0.62,69,0.192589433,25.82932487,911.5116329
6,CottonWash,6,1.948722222,409.2944444,2.814821512,661.5800175,737.0230948,0.62,68,0.186597175,24.71120552,960.5003894
7,CottonWash,7,1.721571429,356.4666667,2.665118453,625.9313912,786.9167997,0.61,76,0.205757362,27.28110373,1086.279029
8,CottonWash,8,1.720916667,356.4791667,2.663645847,625.8379751,783.9791279,7.12,1629,2.698719343,635.8745096,763.4154254
9,CottonWash,9,1.572148148,321.5,2.546575917,598.2319722,800.366474,0.66,72,0.182480986,24.48269386,931.465243
10,CottonWash,10,1.451433333,293.5233333,2.443230415,573.6770234,823.2479571,0.57,71,0.187575272,25.66217307,1029.181305
11,CottonWash,11,1.349939394,270.2242424,2.351953982,551.9090037,851.4609661,0.57,71,0.193760428,26.7022966,1133.591056
12,CottonWash,12,1.245675676,245.7918919,2.241832923,525.9214831,864.3225615,0.64,73,0.190612373,25.93926585,970.4307237
13,CottonWash,13,1.18115,230.6875,2.168395727,508.5914401,871.5332826,0.59,75,0.186450203,25.57288435,960.465509
14,CottonRinse,14,1.22155814,240.1046512,2.21266984,519.6401711,856.6631894,7.22,1662,2.722251202,646.6153434,658.3952805
15,CottonRinse,15,1.183755556,231.3244444,2.170318069,509.5986775,864.579507,0.6,75,0.198093545,27.33317822,1034.780334
16,CottonRinse,16,1.135645833,219.7541667,2.110008163,495.4527694,864.2397502,0.64,71,0.184924961,24.02068074,859.1433991
17,CottonRinse,17,1.090058824,209.1941176,2.055465233,482.5242113,872.3637623,0.58,71,0.18220741,25.28006347,1002.347955
18,CottonSpin,18,1.050037037,199.7944444,2.004800546,470.5429938,881.2320585,0.64,69,0.200456089,25.60307094,1031.993095
19,CottonSpin,19,1.013087719,191.5807018,1.957795991,459.3145056,881.347114,0.53,66,0.142306129,17.86526843,883.418113
20,CottonSpin,20,1.01275,189.3516667,1.911998824,448.1853689,856.3335881,1.86,285,0.551783837,87.63915044,381.0765951
21,CottonSpin,21,0.988269841,183.515873,1.870934156,438.3291287,862.7086016,1.3,189,0.389931323,59.00870772,990.2088713
22,CottonSpin,22,0.957045455,177.1136364,1.833680321,429.2613525,867.2439406,0.6,88,0.137658581,19.86216874,962.4860596
0,CottonWash,0,2.178666667,467.2,3.034484258,709.1357732,743.7271503,7.17,1635,3.034484258,709.1357732,743.7271503
1,CottonWash,1,2.5752,556.28,3.157307843,741.9668302,557.6911478,7.17,1637,3.321646706,787.9603183,278.637144
2,CottonWash,2,3.524875,779.1125,3.337920217,786.8025019,408.4379041,7.29,1671,3.059654796,726.5837755,159.682498
3,CottonWash,3,3.5956,792.93,3.332668819,786.9133827,399.2320387,7.23,1642,3.382349347,805.3135774,362.4085773
4,CottonWash,4,3.076666667,670.0083333,3.255921389,769.0277557,436.0047272,0.66,73,0.142407865,19.41621677,619.8681694
5,CottonWash,5,2.5574,547.2066667,3.091401678,730.1669231,472.3122605,0.64,81,0.150091543,21.35738587,617.5423938
6,CottonWash,6,2.208777778,465.3277778,2.927384032,691.0614363,504.4509311,0.59,75,0.145357664,20.46348023,665.1442841
7,CottonWash,7,1.966571429,407.3619048,2.77391466,655.2126011,504.6119923,0.69,82,0.101890182,14.96129105,505.5783593
8,CottonWash,8,1.779791667,363.4,2.641285735,623.736452,521.256801,0.62,76,0.140900633,19.4569965,637.770462
9,CottonWash,9,1.636555556,329.3592593,2.522823621,595.8150525,526.8689381,0.6,76,0.119595102,17.21163066,571.7660351
10,CottonWash,10,1.674433333,338.3833333,2.550865027,602.7785744,516.4932456,7.14,1640,2.813790833,667.6148797,423.1120135
